# glossary-hints.tsv — steering terms injected per-prompt by hinters/01-glossary.sh
# Format: term<TAB>one-line canonical meaning<TAB>pointer[<TAB>pin]
# Keep meanings under ~120 chars; the hinter emits at most 2 per prompt.
# Rows sharing one meaning are a cluster/variant set: they inject at most once.
# Optional col 4 "pin" (human-set only) exempts a term from dormancy review
# (glossary-decay.sh). Every MATCHED term is logged to glossary-hit-log.tsv
# (usage evidence — a superset of the ≤2 displayed). Terms must not contain
# commas (hit-log join). Mig 0036.
# Source of truth for definitions: GLOSSARY.md §User Shorthand — keep in sync.
efficacy	result per unit of THEIR effort, counting rework; not raw speed	GLOSSARY.md + memory/global/feedback_efficacy_over_speed.md
one-shotting	hoping a task lands in one unplanned pass; treat as fantasy, default to plan→implement→review	rules/structure-over-one-shotting.md
overindex	don't over-weight one example/detail/metric; treat it as one sample of its class, respond to the class	GLOSSARY.md §User Shorthand
pragmatic	the practically-fitting move over the formally-complete one; ceremony and exhaustive coverage are costs	GLOSSARY.md §User Shorthand
intent	requests name goals, not specs; model the goal behind the words before implementing the words	rules/communication.md §Intent over literal wording
stupid	output ignored context it demonstrably had; root-cause WHICH context was ignored, don't apologize	GLOSSARY.md §User Shorthand
waste my time	efficacy violated: output costs more user attention than it saves (rework, re-explaining, filler)	GLOSSARY.md §User Shorthand
waste of my time	efficacy violated: output costs more user attention than it saves (rework, re-explaining, filler)	GLOSSARY.md §User Shorthand
just use chatgpt	the task is light-lane; route to a quick tool, signals task weight not agent quality	memory/global/user_work_routing_triad.md
epic	a campaign-scale fragile job: engineer the run (ledgers, canaries, phases), don't one-shot it	GLOSSARY.md §User Shorthand
smell	qualitative sanity check ("does this look meaningful?"), distinct from mechanical validation	GLOSSARY.md §User Shorthand
deliberate on	mostly: think it through, weigh the tradeoffs across options before committing	GLOSSARY.md §User Shorthand
was deliberate	the choice is intentional and considered; don't silently override, confirm first	GLOSSARY.md §User Shorthand
is deliberate	the choice is intentional and considered; don't silently override, confirm first	GLOSSARY.md §User Shorthand
validate me	evidence-checked reasoning: disagree if wrong/ungrounded; even in agreement surface nuance and flawed inference, never agreement-without-checking	GLOSSARY.md §User Shorthand
validate this	evidence-checked reasoning: disagree if wrong/ungrounded; even in agreement surface nuance and flawed inference, never agreement-without-checking	GLOSSARY.md §User Shorthand
sprawl	unchecked proliferation (code/tokens/tags/prose/deps); a defect to curb by every reasonable means, not tolerate	GLOSSARY.md §User Shorthand
sigh	user's effort dial dropping, things not working; step back, re-approach from intent, carry more of the load; don't hammer the same path or volley questions	GLOSSARY.md §User Shorthand
do a sweep	broad low-cost breadth-first pass across many items, not a deep dive on one	GLOSSARY.md §User Shorthand
a sweep over	broad low-cost breadth-first pass across many items, not a deep dive on one	GLOSSARY.md §User Shorthand
essays	verbosity rejection: too long or over-dressed for the task; cut to short, direct, why-focused; removal is quality control	GLOSSARY.md §User Shorthand
flowery	verbosity rejection: too long or over-dressed for the task; cut to short, direct, why-focused; removal is quality control	GLOSSARY.md §User Shorthand
don't spam	verbosity rejection: too long or over-dressed for the task; cut to short, direct, why-focused; removal is quality control	GLOSSARY.md §User Shorthand
dont spam	verbosity rejection: too long or over-dressed for the task; cut to short, direct, why-focused; removal is quality control	GLOSSARY.md §User Shorthand
is spam	verbosity rejection: too long or over-dressed for the task; cut to short, direct, why-focused; removal is quality control	GLOSSARY.md §User Shorthand
idiot	trust breach in the thought process: needed research/thinking/confirm steps were skipped; name the exact error plainly, no minimizing; strong /atone	GLOSSARY.md §User Shorthand
